,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
24,65560.0,1,7.0,1174162.0,5.0,2,3,3077.81,21.8,10.0,1.0,61655.0,396660.0,1.0,0.0
25,438768.0,1,7.0,1421010.0,1.0,0,3,8431.25,19.0,7.0,0.0,370025.0,456302.0,0.0,0.0
26,177012.0,1,6.5,1325212.0,1.0,0,3,26393.85,14.4,21.0,1.0,209665.0,373494.0,1.0,0.0
27,106238.0,1,7.0,1859340.0,10.0,2,3,22467.12,21.0,11.0,0.0,168739.0,234278.0,0.0,0.0
28,121462.0,1,7.0,1174162.0,1.0,2,3,6707.19,16.3,9.0,0.0,79249.0,258456.0,0.0,0.0
29,260546.0,1,7.0,1125066.0,10.0,2,3,25970.34,16.0,11.0,0.0,563350.0,742962.0,0.0,0.0
30,260854.0,1,6.5,750956.0,3.0,2,11,12578.57,11.6,6.0,0.0,185554.0,234806.0,0.0,0.0
31,143924.0,1,7.0,1300398.0,2.0,0,5,13350.73,15.0,5.0,0.0,199329.0,469106.0,0.0,0.0
32,237996.0,1,7.0,1332261.0,3.0,2,3,11435.15,16.3,8.0,0.0,73606.0,110264.0,0.0,0.0
33,787336.0,0,6.5,3594097.0,6.0,0,11,34443.39,40.4,6.0,0.0,740905.0,1023748.0,0.0,0.0
34,249920.0,0,7.0,1194853.0,1.0,0,3,26286.69,22.4,9.0,1.0,76893.0,274802.0,1.0,0.0
35,93104.0,1,7.5,957315.0,5.0,1,3,10530.56,45.2,7.0,0.0,50160.0,183810.0,0.0,0.0
36,131032.0,1,7.0,1174162.0,1.0,2,7,5374.91,11.9,20.0,0.0,246354.0,570526.0,0.0,0.0
37,327602.0,1,7.0,980780.0,10.0,2,3,16918.55,9.0,8.0,0.0,162583.0,207570.0,0.0,0.0
38,87076.0,1,7.0,461396.0,3.0,2,3,1599.61,10.5,9.0,0.0,52459.0,169686.0,0.0,0.0
39,111804.0,1,7.0,675849.0,2.0,2,3,11545.73,10.2,10.0,0.0,124811.0,308814.0,0.0,0.0
40,267872.0,1,6.0,1174162.0,10.0,0,3,12001.35,16.2,10.0,0.0,83543.0,104918.0,0.0,0.0
41,22396.0,1,7.0,1174162.0,10.0,0,3,32724.27,27.3,17.0,0.0,643397.0,844646.0,0.0,0.0
42,177188.0,1,7.0,1129968.0,5.0,2,3,12335.56,16.2,9.0,0.0,128288.0,375122.0,0.0,0.0
43,613624.0,0,7.0,1188146.0,6.0,0,3,19901.36,15.2,12.0,0.0,423548.0,1184590.0,0.0,0.0
44,219934.0,1,7.5,569829.0,10.0,2,3,13106.01,19.6,7.0,0.0,409849.0,558954.0,0.0,0.0
45,493174.0,0,6.5,851846.0,9.0,1,3,10647.98,9.5,8.0,0.0,129219.0,487366.0,0.0,0.0
46,759924.0,1,7.0,4031496.0,3.0,0,3,30236.22,36.5,6.0,0.0,855323.0,1143626.0,0.0,0.0
47,44484.0,1,7.0,3303948.0,10.0,2,6,25963.5,22.9,8.0,0.0,212610.0,318054.0,0.0,0.0
48,335170.0,0,7.0,823707.0,10.0,0,3,14552.1,25.3,11.0,0.0,436715.0,527824.0,0.0,0.0
49,266420.0,1,7.0,1438110.0,10.0,2,3,27204.2,20.0,19.0,0.0,597854.0,914474.0,0.0,0.0
50,772002.0,1,6.5,2857410.0,10.0,1,5,50718.98,17.2,11.0,0.0,1447287.0,1868218.0,0.0,0.0
51,327140.0,1,7.5,2354347.0,2.0,0,3,37080.78,20.0,17.0,0.0,288819.0,844470.0,0.0,0.0
52,82148.0,0,6.5,1036925.0,5.0,0,7,11146.92,33.6,6.0,0.0,63023.0,108746.0,0.0,0.0
53,143704.0,1,7.5,504222.0,10.0,2,3,5882.59,16.0,5.0,0.0,149264.0,251592.0,0.0,0.0
54,261250.0,1,7.0,1483501.0,2.0,2,7,21140.16,22.7,16.0,0.0,177270.0,283118.0,0.0,0.0
55,159500.0,1,7.5,705451.0,4.0,2,3,6819.48,9.4,15.0,0.0,139992.0,457908.0,0.0,0.0
56,495616.0,1,6.5,2957312.0,3.0,0,3,17226.35,22.8,12.0,0.0,203509.0,338074.0,0.0,0.0
57,761046.0,0,6.5,4153229.0,1.0,0,3,46723.66,18.0,11.0,0.0,356060.0,447150.0,0.0,0.0
58,546370.0,1,7.0,3774920.0,10.0,1,3,3806.46,16.2,4.0,0.0,115710.0,244926.0,0.0,0.0
59,260348.0,1,7.0,2529603.0,10.0,2,3,30566.06,31.2,13.0,0.0,617899.0,972092.0,0.0,0.0
60,333432.0,1,7.0,1631796.0,2.0,0,3,15094.17,14.9,14.0,0.0,327674.0,615912.0,0.0,0.0
61,44814.0,1,6.5,2516189.0,1.0,2,7,1614.62,9.5,2.0,0.0,14725.0,17930.0,0.0,0.0
62,216216.0,1,7.0,1174162.0,10.0,2,3,15943.66,16.0,13.0,0.0,189829.0,473704.0,0.0,0.0
63,379808.0,1,7.0,916332.0,1.0,2,3,12141.19,10.1,5.0,0.0,180329.0,259402.0,0.0,0.0
64,282106.0,1,7.5,1174162.0,1.0,2,3,16502.64,10.1,14.0,0.0,466222.0,1597134.0,0.0,0.0
65,176616.0,1,7.5,377511.0,4.0,2,3,6292.04,11.4,8.0,0.0,152665.0,267014.0,0.0,0.0
66,431904.0,0,7.5,1174162.0,10.0,0,3,11946.82,28.4,11.0,0.0,231477.0,317548.0,0.0,0.0
67,367378.0,0,7.0,1829035.0,10.0,0,3,26216.39,15.1,13.0,0.0,550240.0,1403358.0,0.0,0.0
68,221738.0,0,7.0,1174162.0,1.0,2,0,21180.06,14.4,23.0,0.0,27778.0,144276.0,0.0,0.0
69,319396.0,1,7.5,957790.0,3.0,0,3,24024.55,13.5,11.0,2.0,224390.0,605638.0,1.0,1.0
70,184558.0,1,6.5,468787.0,1.0,1,3,10625.75,5.5,11.0,0.0,103740.0,433598.0,0.0,0.0
71,334422.0,1,7.0,1155276.0,3.0,0,3,8549.05,17.4,7.0,1.0,263511.0,454718.0,1.0,0.0
72,359106.0,0,7.0,1492545.0,5.0,2,3,22985.25,20.6,8.0,0.0,259882.0,390280.0,0.0,0.0
73,550330.0,0,7.5,1462107.0,10.0,0,11,28852.26,19.7,8.0,0.0,1164719.0,5167118.0,0.0,0.0
74,88264.0,1,7.5,1174162.0,4.0,1,7,31456.78,21.5,13.0,0.0,479636.0,970926.0,0.0,0.0
75,453486.0,0,7.0,1174162.0,10.0,0,5,17910.54,30.8,13.0,0.0,252434.0,476036.0,0.0,0.0
76,206162.0,1,7.0,741836.0,2.0,2,3,3214.61,11.2,8.0,0.0,97755.0,150326.0,0.0,0.0
77,518716.0,1,7.0,1067306.0,3.0,2,3,23925.18,22.8,13.0,0.0,238659.0,591734.0,0.0,0.0
78,43912.0,1,7.5,720708.0,1.0,2,11,2882.87,18.9,5.0,0.0,14573.0,301158.0,0.0,0.0
79,647196.0,0,7.0,1578805.0,6.0,0,3,30523.69,14.2,15.0,0.0,286273.0,860970.0,0.0,0.0
80,442904.0,1,7.5,1874293.0,2.0,1,3,26864.86,23.8,22.0,0.0,727662.0,2080386.0,0.0,0.0
81,561066.0,0,7.0,1938190.0,9.0,0,5,27619.16,13.9,16.0,0.0,591318.0,832964.0,0.0,0.0
82,204864.0,1,6.0,969475.0,2.0,0,5,2270.12,20.8,6.0,2.0,66861.0,130328.0,2.0,0.0
83,133804.0,0,7.0,473575.0,2.0,2,3,9092.64,12.9,5.0,0.0,155857.0,306922.0,0.0,0.0
84,356752.0,1,7.0,1001338.0,6.0,2,3,20360.4,13.0,14.0,0.0,70813.0,303666.0,0.0,0.0
85,308550.0,1,6.5,1174162.0,10.0,0,5,17210.2,20.9,8.0,0.0,473784.0,680636.0,0.0,0.0
86,562650.0,0,7.5,1030161.0,10.0,1,3,18972.07,30.8,10.0,0.0,829027.0,1483658.0,0.0,0.0
87,111056.0,1,7.5,633346.0,1.0,2,3,1266.54,18.3,3.0,0.0,27075.0,88770.0,0.0,0.0
88,34628.0,1,6.5,785080.0,6.0,2,11,25841.9,20.0,11.0,1.0,128801.0,205722.0,1.0,0.0
89,671836.0,0,6.5,1310183.0,7.0,0,3,33191.29,16.7,19.0,0.0,605435.0,1147344.0,0.0,0.0
90,178068.0,1,7.0,1174162.0,4.0,2,3,14514.29,5.3,5.0,0.0,144628.0,405460.0,0.0,0.0
91,547294.0,0,7.0,1194872.0,8.0,0,3,23997.0,20.1,12.0,0.0,357048.0,877756.0,0.0,0.0
92,263736.0,1,6.5,873126.0,1.0,2,3,9095.11,12.8,6.0,0.0,234916.0,279246.0,0.0,0.0
93,528968.0,1,6.5,2226192.0,8.0,0,3,23746.01,23.3,14.0,0.0,625157.0,792836.0,0.0,0.0
94,292842.0,1,6.5,1145244.0,1.0,1,3,14124.6,17.0,11.0,0.0,105602.0,212300.0,0.0,0.0
95,118052.0,1,7.0,886388.0,4.0,2,3,6862.23,40.4,5.0,0.0,226689.0,332266.0,0.0,0.0
96,216568.0,1,7.5,1178323.0,10.0,0,3,12175.96,26.8,10.0,0.0,160189.0,311740.0,0.0,0.0
97,224994.0,1,7.0,1282462.0,5.0,0,3,17740.87,14.7,17.0,0.0,274189.0,851180.0,0.0,0.0
98,323906.0,1,7.5,953135.0,7.0,0,3,18189.08,19.7,10.0,0.0,325983.0,522808.0,0.0,0.0
99,351054.0,1,7.5,3126545.0,3.0,0,3,8572.04,17.1,6.0,0.0,453188.0,1331858.0,0.0,0.0
100,102256.0,1,7.0,396872.0,1.0,2,3,5688.41,7.0,5.0,0.0,86773.0,137082.0,0.0,0.0
101,66638.0,1,6.5,537111.0,10.0,1,5,12487.75,17.2,6.0,0.0,166934.0,273372.0,0.0,0.0
102,653466.0,1,7.0,1881190.0,9.0,2,3,26493.41,10.4,13.0,0.0,470877.0,797126.0,0.0,0.0
103,234410.0,1,7.0,1265267.0,10.0,2,3,25906.31,17.0,10.0,0.0,305976.0,389774.0,0.0,0.0
104,109868.0,1,7.0,2846295.0,1.0,2,11,782.8,21.0,3.0,0.0,20501.0,30778.0,0.0,0.0
105,304392.0,0,7.5,2065547.0,1.0,0,3,22032.4,17.6,16.0,0.0,432573.0,1047882.0,0.0,0.0
106,432564.0,0,6.5,1120734.0,1.0,2,3,16904.49,15.7,11.0,0.0,201704.0,313500.0,0.0,0.0
107,224356.0,1,7.0,1550096.0,5.0,0,3,39010.61,14.1,17.0,0.0,263359.0,414898.0,0.0,0.0
108,326700.0,1,7.5,1090980.0,1.0,0,3,19546.82,11.9,11.0,0.0,271434.0,572462.0,0.0,0.0
109,87098.0,1,7.0,200032.0,3.0,2,10,2250.36,10.7,4.0,0.0,399.0,228646.0,0.0,0.0
110,214588.0,1,7.0,1111956.0,2.0,2,6,24092.38,22.8,9.0,0.0,148542.0,225434.0,0.0,0.0
111,355212.0,1,7.0,749360.0,3.0,0,3,15798.88,14.7,17.0,1.0,90991.0,650342.0,1.0,0.0
112,122650.0,1,7.0,453948.0,3.0,2,3,6052.64,8.3,9.0,0.0,86982.0,179542.0,0.0,0.0
113,64878.0,1,6.5,1120772.0,10.0,1,11,23442.77,14.8,16.0,0.0,198550.0,378136.0,0.0,0.0
114,380622.0,1,7.0,1911210.0,10.0,2,3,24527.1,23.8,11.0,0.0,262523.0,506616.0,0.0,0.0
115,142142.0,1,7.0,1586424.0,10.0,0,11,15203.23,17.3,9.0,0.0,687420.0,6921310.0,0.0,0.0
116,356400.0,1,7.5,1566949.0,7.0,0,3,6319.97,13.0,8.0,0.0,310498.0,658460.0,0.0,0.0
117,212102.0,1,7.5,610622.0,1.0,2,3,13026.59,16.9,9.0,0.0,44935.0,307890.0,0.0,0.0
118,75570.0,0,6.0,805524.0,10.0,1,0,8780.28,16.0,4.0,0.0,12521.0,15114.0,0.0,0.0
119,205458.0,1,7.0,1481240.0,1.0,2,3,20243.55,30.7,12.0,0.0,308902.0,575960.0,0.0,0.0
120,402534.0,1,7.5,1255387.0,3.0,0,3,22805.89,15.3,16.0,0.0,364363.0,731214.0,0.0,0.0
121,219582.0,1,7.0,758556.0,10.0,0,3,24526.53,14.3,11.0,0.0,196327.0,434654.0,0.0,0.0
122,223454.0,1,7.0,1292988.0,3.0,2,3,17132.11,16.2,6.0,0.0,196935.0,326216.0,0.0,0.0
123,174416.0,1,7.0,593218.0,7.0,2,3,8700.67,16.0,9.0,0.0,115729.0,343618.0,0.0,0.0
124,162404.0,1,6.5,469110.0,1.0,0,3,1896.01,11.9,4.0,0.0,87913.0,204402.0,0.0,0.0
125,182094.0,1,7.0,1174162.0,10.0,0,3,5914.32,25.9,13.0,0.0,165832.0,245850.0,0.0,0.0
126,107404.0,1,7.0,1174162.0,5.0,0,11,19238.07,43.7,5.0,0.0,28956.0,58014.0,0.0,0.0
127,262636.0,1,7.5,1174162.0,7.0,2,3,13155.22,12.0,13.0,0.0,180709.0,511610.0,0.0,0.0
128,131450.0,1,7.5,1532540.0,2.0,0,3,24137.41,11.1,17.0,0.0,130264.0,330792.0,0.0,0.0
129,88968.0,1,7.0,391894.0,5.0,2,3,5192.7,10.7,7.0,0.0,110238.0,253770.0,0.0,0.0
130,603196.0,0,6.5,1972105.0,10.0,0,3,36977.04,19.4,15.0,0.0,505229.0,784190.0,0.0,0.0
131,365838.0,1,7.0,848844.0,5.0,0,0,7498.16,16.2,5.0,0.0,151487.0,429924.0,0.0,0.0
132,149710.0,1,7.0,1053569.0,6.0,2,3,13696.34,19.0,14.0,0.0,82650.0,110902.0,0.0,0.0
133,216172.0,1,7.0,1157499.0,6.0,1,3,12250.25,18.0,15.0,1.0,189506.0,568480.0,1.0,0.0
134,179454.0,1,7.0,542431.0,3.0,2,11,13334.58,10.6,9.0,0.0,224675.0,466224.0,0.0,0.0
135,64658.0,1,6.0,579367.0,1.0,2,3,3427.98,15.4,8.0,0.0,41496.0,68926.0,0.0,0.0
136,109340.0,1,7.0,717668.0,10.0,2,3,7116.83,27.2,4.0,0.0,271434.0,424138.0,0.0,0.0
137,123090.0,1,7.0,394269.0,5.0,2,7,6840.57,9.1,3.0,0.0,52516.0,87230.0,0.0,0.0
138,405812.0,1,7.0,837254.0,6.0,2,3,14233.47,10.7,18.0,1.0,127642.0,464728.0,0.0,1.0
139,765798.0,1,7.5,2703852.0,8.0,0,3,14510.68,20.0,15.0,0.0,572565.0,1883398.0,0.0,0.0
140,105710.0,1,7.0,1174162.0,1.0,2,3,4170.5,6.4,16.0,0.0,102733.0,184712.0,0.0,0.0
141,433774.0,0,6.5,1579850.0,10.0,2,3,23566.08,14.7,10.0,0.0,318801.0,495484.0,0.0,0.0
142,472318.0,1,7.0,886882.0,2.0,2,11,17294.37,24.0,7.0,2.0,55423.0,623128.0,1.0,1.0
143,377146.0,1,7.0,1197475.0,5.0,1,3,20456.92,16.2,12.0,0.0,339891.0,588280.0,0.0,0.0
144,213730.0,1,7.5,1249820.0,1.0,0,3,17185.12,15.0,11.0,0.0,194560.0,385110.0,0.0,0.0
145,158378.0,1,7.0,1557696.0,10.0,2,3,14019.34,15.1,16.0,0.0,81776.0,420860.0,0.0,0.0
146,631576.0,1,7.0,1609832.0,3.0,2,3,13549.47,9.5,13.0,0.0,175731.0,788700.0,0.0,0.0
147,177760.0,1,7.0,1174162.0,2.0,2,3,15198.48,9.4,8.0,0.0,44175.0,317702.0,0.0,0.0
148,435688.0,1,7.0,2822070.0,4.0,0,3,11358.77,31.4,19.0,1.0,261383.0,854942.0,1.0,0.0
149,98560.0,1,7.5,1607742.0,3.0,1,3,6216.61,19.1,7.0,0.0,55157.0,94204.0,0.0,0.0
150,333806.0,0,7.0,1441397.0,8.0,0,3,16455.9,16.6,6.0,0.0,118066.0,187022.0,0.0,0.0
151,112046.0,1,7.0,1174162.0,8.0,0,3,33728.04,24.0,9.0,0.0,547219.0,851642.0,0.0,0.0
152,779636.0,1,7.0,1635197.0,10.0,0,3,20712.47,23.0,7.0,0.0,518776.0,715110.0,0.0,0.0
153,431288.0,0,7.0,1955499.0,3.0,0,3,21347.45,16.3,16.0,0.0,503671.0,1154824.0,0.0,0.0
154,175472.0,1,7.0,1799585.0,8.0,0,3,8233.27,12.4,5.0,0.0,107844.0,129382.0,0.0,0.0
155,110396.0,1,6.5,1174162.0,1.0,2,3,18157.92,13.5,6.0,0.0,178752.0,231770.0,0.0,0.0
156,152746.0,1,7.0,1147068.0,10.0,1,11,16728.17,18.5,5.0,0.0,0.0,0.0,0.0,0.0
157,265980.0,1,7.0,1225120.0,4.0,1,3,21643.85,11.6,8.0,0.0,304361.0,638440.0,0.0,0.0
158,202114.0,1,7.0,1174162.0,1.0,2,3,8727.84,19.7,7.0,0.0,162070.0,451110.0,0.0,0.0
159,158664.0,1,7.0,666064.0,8.0,2,3,5422.98,13.7,13.0,0.0,154356.0,801460.0,0.0,0.0
160,470338.0,1,7.5,1155048.0,7.0,0,3,23004.63,20.5,13.0,0.0,775960.0,1520266.0,0.0,0.0
161,272250.0,0,7.0,859427.0,6.0,2,3,14753.69,11.0,10.0,0.0,224618.0,289608.0,0.0,0.0
162,450648.0,0,7.0,972990.0,1.0,2,5,15000.12,20.7,8.0,0.0,386118.0,795520.0,0.0,0.0
163,322938.0,1,7.0,1227172.0,3.0,0,3,29758.75,33.5,18.0,0.0,354426.0,676104.0,0.0,0.0
164,550396.0,1,7.5,1330931.0,5.0,2,3,29280.52,13.0,16.0,0.0,411863.0,715000.0,0.0,0.0
165,460702.0,1,7.0,1042074.0,10.0,2,3,23880.91,13.5,11.0,0.0,366662.0,756778.0,0.0,0.0
166,151514.0,1,7.0,560823.0,10.0,1,3,4262.27,17.0,4.0,0.0,162146.0,188320.0,0.0,0.0
167,335918.0,1,7.0,3017048.0,2.0,0,3,13073.9,15.8,14.0,0.0,117534.0,1744710.0,0.0,0.0
168,335280.0,1,7.0,1061720.0,6.0,2,3,12121.43,35.0,14.0,0.0,178448.0,317394.0,0.0,0.0
169,157102.0,1,6.5,891651.0,4.0,0,11,21399.7,13.2,14.0,0.0,89376.0,148060.0,0.0,0.0
170,181742.0,1,6.5,2242380.0,4.0,2,7,26161.1,15.0,23.0,0.0,782800.0,1697388.0,0.0,0.0
171,398332.0,1,7.0,1100860.0,2.0,2,3,16696.25,11.7,17.0,0.0,378081.0,979352.0,0.0,0.0
172,329846.0,0,6.5,1848605.0,10.0,0,3,11677.02,22.2,13.0,0.0,547637.0,784762.0,0.0,0.0
173,112662.0,1,7.0,875615.0,6.0,0,3,9266.87,12.6,8.0,0.0,102182.0,299508.0,0.0,0.0
174,321838.0,1,7.5,1090752.0,2.0,2,3,16997.59,18.8,9.0,0.0,377036.0,537636.0,0.0,0.0
175,358820.0,1,6.5,1160919.0,10.0,0,3,15478.92,18.2,10.0,0.0,371013.0,826122.0,0.0,0.0
176,287100.0,0,7.0,929784.0,10.0,2,3,25724.1,25.8,10.0,0.0,240141.0,553894.0,0.0,0.0
177,110462.0,1,7.5,896743.0,10.0,2,3,14273.18,12.0,25.0,0.0,127471.0,1778304.0,0.0,0.0
178,437184.0,0,7.0,1174162.0,10.0,0,3,34217.1,14.8,6.0,0.0,437323.0,533588.0,0.0,0.0
179,536316.0,1,7.0,1174162.0,9.0,2,3,29527.33,14.1,21.0,0.0,598120.0,892474.0,0.0,0.0
180,527098.0,0,6.5,1595563.0,3.0,0,3,16753.44,14.0,15.0,0.0,317319.0,702526.0,0.0,0.0
181,218900.0,1,7.5,1890500.0,1.0,2,3,12745.2,10.8,9.0,0.0,171551.0,928180.0,0.0,0.0
182,391644.0,1,7.0,940595.0,10.0,0,3,11443.89,17.0,9.0,0.0,534451.0,790350.0,0.0,0.0
183,774708.0,0,6.5,2905613.0,1.0,0,3,63197.23,35.4,22.0,0.0,701784.0,1165824.0,0.0,0.0
184,389180.0,1,7.0,1937240.0,10.0,0,3,26798.36,19.3,12.0,0.0,569696.0,892628.0,0.0,0.0
185,258632.0,1,7.0,1174162.0,10.0,0,5,21980.34,15.9,11.0,0.0,325508.0,926068.0,0.0,0.0
186,440352.0,1,6.5,1901520.0,10.0,2,3,23135.16,16.5,10.0,0.0,326097.0,462154.0,0.0,0.0
187,270028.0,1,7.5,766156.0,8.0,0,3,16089.2,26.9,11.0,0.0,753996.0,1226192.0,0.0,0.0
188,43362.0,1,7.0,842517.0,1.0,2,3,15516.35,14.9,16.0,0.0,98249.0,225280.0,0.0,0.0
189,111166.0,1,7.0,1474514.0,3.0,0,2,21810.67,11.8,8.0,0.0,0.0,0.0,0.0,0.0
190,174812.0,1,7.0,754908.0,10.0,2,7,6731.32,12.1,5.0,0.0,121049.0,353936.0,0.0,0.0
191,560340.0,1,6.5,1548576.0,9.0,2,3,11059.33,17.0,12.0,0.0,280877.0,490512.0,0.0,0.0
192,166782.0,1,6.5,673892.0,5.0,2,11,9490.69,12.0,6.0,0.0,80959.0,125840.0,0.0,0.0
193,404074.0,1,6.5,1174162.0,2.0,2,3,7155.02,18.7,15.0,0.0,308864.0,1039632.0,0.0,0.0
194,482262.0,0,7.0,1174162.0,10.0,0,5,23199.57,38.9,7.0,1.0,164654.0,605242.0,1.0,0.0
195,93720.0,1,7.5,963585.0,10.0,1,3,13650.74,15.4,38.0,0.0,60610.0,145002.0,0.0,0.0
196,89452.0,1,7.0,872974.0,2.0,0,3,5579.73,16.0,8.0,0.0,333982.0,409222.0,0.0,0.0
197,71236.0,1,6.5,700397.0,1.0,2,3,5544.96,17.2,11.0,0.0,21850.0,29238.0,0.0,0.0
198,357412.0,1,7.0,1292608.0,3.0,2,5,21435.61,11.0,18.0,0.0,272612.0,539572.0,0.0,0.0
199,31526.0,1,7.0,1174162.0,10.0,0,5,49927.44,15.1,22.0,0.0,526414.0,1090386.0,0.0,0.0
200,457292.0,1,7.5,2595248.0,1.0,2,3,43038.04,21.7,11.0,0.0,152190.0,300740.0,0.0,0.0
201,144650.0,0,6.5,969532.0,10.0,2,11,11876.71,13.3,3.0,0.0,27379.0,64812.0,0.0,0.0
202,214786.0,1,7.0,890378.0,5.0,2,3,13355.86,34.0,5.0,1.0,75430.0,102762.0,1.0,0.0
203,283514.0,1,7.5,1083969.0,4.0,0,3,20920.71,15.5,8.0,0.0,356535.0,618926.0,0.0,0.0
204,108152.0,1,7.0,933945.0,6.0,2,3,9105.94,14.7,12.0,1.0,88236.0,261976.0,1.0,0.0
205,260524.0,1,7.0,1406190.0,6.0,2,3,6585.59,25.8,6.0,0.0,186124.0,225676.0,0.0,0.0
206,359040.0,0,7.0,1492260.0,5.0,0,3,20021.06,17.3,11.0,0.0,359993.0,653312.0,0.0,0.0
207,172348.0,1,7.0,753692.0,3.0,2,3,8102.17,14.1,5.0,0.0,74100.0,135344.0,0.0,0.0
208,375650.0,1,7.0,768398.0,10.0,2,3,12857.68,19.0,10.0,0.0,254391.0,435072.0,0.0,0.0
209,59048.0,1,7.0,396929.0,5.0,1,2,5590.18,15.1,5.0,0.0,31084.0,94688.0,0.0,0.0
210,124630.0,1,7.0,752020.0,6.0,1,3,14351.08,14.5,24.0,1.0,234365.0,400862.0,1.0,0.0
211,215138.0,1,7.5,1282025.0,10.0,2,3,3995.7,12.7,6.0,0.0,126236.0,165726.0,0.0,0.0
212,259600.0,0,7.5,1174162.0,9.0,2,3,2994.02,20.1,7.0,0.0,83752.0,175384.0,0.0,0.0
213,429000.0,1,7.0,1037400.0,10.0,2,14,8014.01,11.8,8.0,0.0,101289.0,192896.0,0.0,0.0
214,133826.0,1,7.0,1444817.0,1.0,0,3,22515.0,24.3,11.0,0.0,880327.0,1411828.0,0.0,0.0
215,322652.0,1,7.5,1448959.0,6.0,0,3,19923.02,15.8,13.0,0.0,243029.0,341924.0,0.0,0.0
216,220770.0,1,7.0,878959.0,1.0,0,7,11353.26,9.4,6.0,0.0,83505.0,110396.0,0.0,0.0
217,325710.0,1,7.5,1174162.0,2.0,0,7,4932.02,13.6,9.0,0.0,108813.0,318956.0,0.0,0.0
218,155342.0,1,7.5,1174162.0,6.0,2,3,10132.13,7.9,6.0,0.0,45106.0,106612.0,0.0,0.0
219,268840.0,1,7.0,1174162.0,1.0,2,3,10357.47,14.4,13.0,0.0,136249.0,248820.0,0.0,0.0
220,196988.0,1,7.0,1174162.0,10.0,0,3,14391.17,14.0,11.0,0.0,156408.0,316052.0,0.0,0.0
221,513040.0,0,7.0,963205.0,10.0,0,3,12280.84,21.0,4.0,0.0,390678.0,731984.0,0.0,0.0
